crag_id,country,region,province_or_island,municipality,crag_name,latitude,longitude,coord_status,coord_source_element,coord_dist_from_town_m,altitude_m,parking_lat,parking_lon,parking_dist_m,rock_type,needs_review,notes
CRAG-001,Spagna,Isole Baleari,Mallorca,Selva (Caimari),Caimari,39.5826266,2.6799764,verify-on-map,nominatim:Selva,,24,39.5834329,2.6827189,252,,true,2 nodi climbing vicini senza match nome
CRAG-002,Spagna,Isole Baleari,Mallorca,Manacor,Cala Magraner,39.5710273,2.6666978,verify-on-map,nominatim:Manacor,,21,,,,,true,overpass climb: HTTP 429 for https://overpass-api.de/api/interpreter; overpass park: HTTP 429 for https://overpass-api.de/api/interpreter
CRAG-003,Italia,Lazio,Frosinone,Roccasecca (Caprile),Caprile,41.5462501,13.6736279,osm-climbing-name,node/1190842993 (Falesia di Caprile),858,359,,,,,false,overpass park: HTTP 429 for https://overpass-api.de/api/interpreter
CRAG-004,Italia,Molise,Isernia,Frosolone,Colle dell'Orso,41.6186229,14.4164265,osm-climbing-name,node/1313692914 (Morgia Quadra),2413,1247,,,,,false,overpass park: HTTP 504 for https://overpass-api.de/api/interpreter
CRAG-005,Italia,Lazio,Frosinone,Collepardo,Collepardo,41.764322,13.369499,verify-on-map,nominatim:Collepardo,,596,,,,,true,overpass park: HTTP 429 for https://overpass-api.de/api/interpreter
CRAG-006,Italia,Lazio,Rieti,Configni,Configni,42.42353,12.642173,verify-on-map,nominatim:Configni,,556,42.4232599,12.6413263,76,,true,overpass climb: HTTP 504 for https://overpass-api.de/api/interpreter
CRAG-007,Spagna,Isole Baleari,Mallorca,Arta,Ermita de Betlem,39.8321077,3.0978117,osm-climbing-single,node/1353508034 (Puig de Sant Martí Crag),1969,191,,,,,false,overpass park: HTTP 429 for https://overpass-api.de/api/interpreter
CRAG-008,Italia,Umbria,Terni,Ferentillo,Ferentillo,42.6207678,12.7887263,verify-on-map,nominatim:Ferentillo,,257,,,,,true,overpass climb: HTTP 429 for https://overpass-api.de/api/interpreter; overpass park: HTTP 429 for https://overpass-api.de/api/interpreter
CRAG-009,Italia,Lazio,Frosinone,Roccasecca,Fraioli,41.5523208,13.6672577,verify-on-map,nominatim:Roccasecca,,241,,,,,true,comune da verificare; 2 nodi climbing vicini senza match nome; overpass park: HTTP 504 for https://overpass-api.de/api/interpreter
CRAG-010,Italia,Lazio,Rieti,Cittaducale (Grotti),Grotti,42.3739715,12.9222252,osm-climbing-name,node/9732370843 (Falesia Bassa di Grotti),2470,414,,,,,false,
CRAG-011,Italia,Lazio,Rieti,,La Fortezza,42.3642234,12.8844077,verify-on-map,nominatim:La Fortezza,,579,,,,,true,comune da verificare; overpass climb: HTTP 429 for https://overpass-api.de/api/interpreter
CRAG-012,Italia,Valle d'Aosta,Aosta,Valgrisenche (La Bethaz),Miollet,45.6311691,7.0647408,verify-on-map,nominatim:Valgrisenche,,1661,45.6316516,7.0648162,54,,true,overpass climb: HTTP 429 for https://overpass-api.de/api/interpreter
CRAG-013,Italia,Lazio,Latina,Norma,Norma,41.585964,12.9744412,verify-on-map,nominatim:Norma,,463,41.586048,12.9743287,13,,true,overpass climb: HTTP 504 for https://overpass-api.de/api/interpreter
CRAG-014,Italia,Abruzzo,L'Aquila,Ovindoli,Ovindoli,42.137031,13.516097,verify-on-map,nominatim:Ovindoli,,1364,42.1416549,13.5178439,534,,true,overpass climb: HTTP 504 for https://overpass-api.de/api/interpreter
CRAG-015,Italia,Abruzzo,L'Aquila,Cappadocia (Petrella Liri),Petrella Liri,41.9815716,13.2766093,verify-on-map,nominatim:Cappadocia,,1402,,,,,true,overpass climb: HTTP 429 for https://overpass-api.de/api/interpreter; overpass park: HTTP 429 for https://overpass-api.de/api/interpreter
CRAG-016,Italia,Abruzzo,L'Aquila,Carsoli (Pietrasecca),Pietrasecca,42.1227215,13.1017552,verify-on-map,nominatim:Carsoli,,719,,,,,true,overpass climb: HTTP 429 for https://overpass-api.de/api/interpreter; overpass park: HTTP 429 for https://overpass-api.de/api/interpreter
CRAG-017,Italia,Abruzzo,Chieti,Pizzoferrato,Pizzoferrato,41.921432,14.235716,verify-on-map,nominatim:Pizzoferrato,,1206,,,,,true,overpass climb: HTTP 504 for https://overpass-api.de/api/interpreter
CRAG-018,Italia,Lazio,Roma,Allumiere,Ripa Majala,42.156218,11.9038323,verify-on-map,nominatim:Allumiere,,499,42.1573639,11.9074986,328,,true,overpass climb: HTTP 504 for https://overpass-api.de/api/interpreter
CRAG-019,Italia,Lazio,Roma,Subiaco,Subiaco,41.9267153,13.0944317,verify-on-map,nominatim:Subiaco,,498,,,,,true,overpass climb: HTTP 429 for https://overpass-api.de/api/interpreter; overpass park: HTTP 429 for https://overpass-api.de/api/interpreter
CRAG-020,Italia,Abruzzo,L'Aquila,Tagliacozzo,Tagliacozzo,42.068417,13.2107993,osm-climbing-single,"node/12346408674 (Falesia ""Rosa dei Venti"")",2334,1133,,,,,false,overpass park: HTTP 429 for https://overpass-api.de/api/interpreter
CRAG-021,Spagna,Isole Baleari,Mallorca,,Tijuana,39.6197271,2.8348636,verify-on-map,nominatim:Tijuana,,203,39.620667,2.8377701,270,,true,comune da verificare
CRAG-022,Italia,Sardegna,Nuoro,Ulassai,Ulassai,,,no-geocode,,,,,,,,true,geocoding fallito
