crag_id,crag_name,field,value,source,source_license,confidence,status,last_verified
CRAG-001,Caimari,latitude,39.5826266,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-001,Caimari,longitude,2.6799764,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-001,Caimari,altitude_m,24,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-001,Caimari,parking,"39.5834329,2.6827189",OpenStreetMap/Overpass,ODbL,med,osm-nearest,2026-07-01
CRAG-001,Caimari,rock_type,,,,low,missing,
CRAG-002,Cala Magraner,latitude,39.5710273,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-002,Cala Magraner,longitude,2.6666978,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-002,Cala Magraner,altitude_m,21,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-002,Cala Magraner,parking,,OpenStreetMap/Overpass,ODbL,low,missing,
CRAG-002,Cala Magraner,rock_type,,,,low,missing,
CRAG-003,Caprile,latitude,41.5462501,OpenStreetMap/Overpass,ODbL,med,osm-snapped,2026-07-01
CRAG-003,Caprile,longitude,13.6736279,OpenStreetMap/Overpass,ODbL,med,osm-snapped,2026-07-01
CRAG-003,Caprile,altitude_m,359,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-003,Caprile,parking,,OpenStreetMap/Overpass,ODbL,low,missing,
CRAG-003,Caprile,rock_type,,,,low,missing,
CRAG-004,Colle dell'Orso,latitude,41.6186229,OpenStreetMap/Overpass,ODbL,med,osm-snapped,2026-07-01
CRAG-004,Colle dell'Orso,longitude,14.4164265,OpenStreetMap/Overpass,ODbL,med,osm-snapped,2026-07-01
CRAG-004,Colle dell'Orso,altitude_m,1247,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-004,Colle dell'Orso,parking,,OpenStreetMap/Overpass,ODbL,low,missing,
CRAG-004,Colle dell'Orso,rock_type,,,,low,missing,
CRAG-005,Collepardo,latitude,41.764322,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-005,Collepardo,longitude,13.369499,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-005,Collepardo,altitude_m,596,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-005,Collepardo,parking,,OpenStreetMap/Overpass,ODbL,low,missing,
CRAG-005,Collepardo,rock_type,,,,low,missing,
CRAG-006,Configni,latitude,42.42353,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-006,Configni,longitude,12.642173,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-006,Configni,altitude_m,556,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-006,Configni,parking,"42.4232599,12.6413263",OpenStreetMap/Overpass,ODbL,med,osm-nearest,2026-07-01
CRAG-006,Configni,rock_type,,,,low,missing,
CRAG-007,Ermita de Betlem,latitude,39.8321077,OpenStreetMap/Overpass,ODbL,low,osm-snapped,2026-07-01
CRAG-007,Ermita de Betlem,longitude,3.0978117,OpenStreetMap/Overpass,ODbL,low,osm-snapped,2026-07-01
CRAG-007,Ermita de Betlem,altitude_m,191,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-007,Ermita de Betlem,parking,,OpenStreetMap/Overpass,ODbL,low,missing,
CRAG-007,Ermita de Betlem,rock_type,,,,low,missing,
CRAG-008,Ferentillo,latitude,42.6207678,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-008,Ferentillo,longitude,12.7887263,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-008,Ferentillo,altitude_m,257,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-008,Ferentillo,parking,,OpenStreetMap/Overpass,ODbL,low,missing,
CRAG-008,Ferentillo,rock_type,,,,low,missing,
CRAG-009,Fraioli,latitude,41.5523208,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-009,Fraioli,longitude,13.6672577,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-009,Fraioli,altitude_m,241,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-009,Fraioli,parking,,OpenStreetMap/Overpass,ODbL,low,missing,
CRAG-009,Fraioli,rock_type,,,,low,missing,
CRAG-010,Grotti,latitude,42.3739715,OpenStreetMap/Overpass,ODbL,med,osm-snapped,2026-07-01
CRAG-010,Grotti,longitude,12.9222252,OpenStreetMap/Overpass,ODbL,med,osm-snapped,2026-07-01
CRAG-010,Grotti,altitude_m,414,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-010,Grotti,parking,,OpenStreetMap/Overpass,ODbL,low,missing,
CRAG-010,Grotti,rock_type,,,,low,missing,
CRAG-011,La Fortezza,latitude,42.3642234,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-011,La Fortezza,longitude,12.8844077,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-011,La Fortezza,altitude_m,579,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-011,La Fortezza,parking,,OpenStreetMap/Overpass,ODbL,low,missing,
CRAG-011,La Fortezza,rock_type,,,,low,missing,
CRAG-012,Miollet,latitude,45.6311691,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-012,Miollet,longitude,7.0647408,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-012,Miollet,altitude_m,1661,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-012,Miollet,parking,"45.6316516,7.0648162",OpenStreetMap/Overpass,ODbL,med,osm-nearest,2026-07-01
CRAG-012,Miollet,rock_type,,,,low,missing,
CRAG-013,Norma,latitude,41.585964,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-013,Norma,longitude,12.9744412,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-013,Norma,altitude_m,463,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-013,Norma,parking,"41.586048,12.9743287",OpenStreetMap/Overpass,ODbL,med,osm-nearest,2026-07-01
CRAG-013,Norma,rock_type,,,,low,missing,
CRAG-014,Ovindoli,latitude,42.137031,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-014,Ovindoli,longitude,13.516097,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-014,Ovindoli,altitude_m,1364,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-014,Ovindoli,parking,"42.1416549,13.5178439",OpenStreetMap/Overpass,ODbL,med,osm-nearest,2026-07-01
CRAG-014,Ovindoli,rock_type,,,,low,missing,
CRAG-015,Petrella Liri,latitude,41.9815716,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-015,Petrella Liri,longitude,13.2766093,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-015,Petrella Liri,altitude_m,1402,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-015,Petrella Liri,parking,,OpenStreetMap/Overpass,ODbL,low,missing,
CRAG-015,Petrella Liri,rock_type,,,,low,missing,
CRAG-016,Pietrasecca,latitude,42.1227215,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-016,Pietrasecca,longitude,13.1017552,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-016,Pietrasecca,altitude_m,719,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-016,Pietrasecca,parking,,OpenStreetMap/Overpass,ODbL,low,missing,
CRAG-016,Pietrasecca,rock_type,,,,low,missing,
CRAG-017,Pizzoferrato,latitude,41.921432,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-017,Pizzoferrato,longitude,14.235716,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-017,Pizzoferrato,altitude_m,1206,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-017,Pizzoferrato,parking,,OpenStreetMap/Overpass,ODbL,low,missing,
CRAG-017,Pizzoferrato,rock_type,,,,low,missing,
CRAG-018,Ripa Majala,latitude,42.156218,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-018,Ripa Majala,longitude,11.9038323,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-018,Ripa Majala,altitude_m,499,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-018,Ripa Majala,parking,"42.1573639,11.9074986",OpenStreetMap/Overpass,ODbL,med,osm-nearest,2026-07-01
CRAG-018,Ripa Majala,rock_type,,,,low,missing,
CRAG-019,Subiaco,latitude,41.9267153,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-019,Subiaco,longitude,13.0944317,OpenStreetMap/Overpass,ODbL,low,verify-on-map,2026-07-01
CRAG-019,Subiaco,altitude_m,498,Open-Meteo Elevation (Copernicus DEM),open,med,derived-from-coord,2026-07-01
CRAG-019,Subiaco,parking,,OpenStreetMap/Overpass,ODbL,low,missing,
CRAG-019,Subiaco,rock_type,,,,low,missing,
